Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10103,2026-03-02T10:45:36.725189,39.72,1.88,81.89,46.74,10.67,2.07
10104,2026-03-02T10:46:36.725189,82.67,0.56,45.26,52.45,10.94,3.35
10111,2026-03-02T10:47:36.725189,49.44,1.16,38.46,98.17,12.07,4.81
10112,2026-03-02T10:48:36.725189,77.09,0.19,35.85,88.28,13.67,3.28
10215,2026-03-02T10:49:36.725189,64.39,3.21,69.49,75.43,13.81,3.87
10216,2026-03-02T10:50:36.725189,85.6,3.15,35.61,73.32,13.56,3.29
10217,2026-03-02T10:51:36.725189,95.37,2.96,63.38,42.26,14.15,2.55
10218,2026-03-02T10:52:36.725189,72.89,0.4,18.92,48.56,11.32,3.99
12345,2026-03-02T10:53:36.725189,81.85,0.34,28.25,69.17,11.25,2.71
12346,2026-03-02T10:54:36.725189,62.83,3.28,83.22,78.47,10.98,4.18
10103,2026-03-02T10:55:36.725189,51.5,0.36,32.5,43.93,12.61,2.87
10104,2026-03-02T10:56:36.725189,30.7,1.15,84.57,57.33,11.63,2.62
10111,2026-03-02T10:57:36.725189,38.07,0.79,18.26,66.21,13.2,2.11
10112,2026-03-02T10:58:36.725189,110.28,2.93,29.87,76.47,12.11,2.48
10215,2026-03-02T10:59:36.725189,111.13,0.38,40.91,48.29,11.91,4.29
10216,2026-03-02T11:00:36.725189,75.73,2.19,75.23,56.41,13.08,2.21
10217,2026-03-02T11:01:36.725189,98.82,3.53,79.46,96.07,14.13,2.03
10218,2026-03-02T11:02:36.725189,113.91,3.2,31.2,80.0,12.54,3.52
12345,2026-03-02T11:03:36.725189,81.34,3.82,67.91,83.35,13.23,2.0
12346,2026-03-02T11:04:36.725189,32.45,0.22,65.77,99.87,11.43,4.27
10103,2026-03-02T11:05:36.725189,61.03,2.85,30.55,65.68,10.65,3.29
10104,2026-03-02T11:06:36.725189,67.88,3.48,57.49,61.94,12.39,4.74
10111,2026-03-02T11:07:36.725189,87.62,3.87,81.59,53.3,10.91,3.76
10112,2026-03-02T11:08:36.725189,107.95,0.6,82.92,94.62,13.37,3.92
10215,2026-03-02T11:09:36.725189,91.27,2.56,43.02,42.89,13.44,2.74
10216,2026-03-02T11:10:36.725189,92.28,3.53,21.82,71.33,11.62,2.25
10217,2026-03-02T11:11:36.725189,71.76,2.06,69.15,63.73,13.36,4.17
10218,2026-03-02T11:12:36.725189,86.63,1.38,43.75,63.88,12.67,2.05
12345,2026-03-02T11:13:36.725189,74.96,3.82,39.47,99.69,11.49,4.59
