Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10103,2026-03-03T10:25:10.579867,72.04,1.74,12.95,94.61,10.74,2.35
10104,2026-03-03T10:26:10.579867,65.58,1.43,58.68,98.78,11.19,2.68
10111,2026-03-03T10:27:10.579867,116.11,3.52,67.98,48.17,11.17,2.08
10112,2026-03-03T10:28:10.579867,64.95,1.03,54.07,94.98,12.92,3.29
10215,2026-03-03T10:29:10.579867,114.59,2.11,76.6,50.94,10.52,4.77
10216,2026-03-03T10:30:10.579867,52.25,1.48,60.12,90.82,12.6,4.82
10217,2026-03-03T10:31:10.579867,57.66,2.56,57.49,84.81,10.71,3.72
10218,2026-03-03T10:32:10.579867,43.15,2.33,84.24,64.26,13.76,2.61
12345,2026-03-03T10:33:10.579867,42.42,0.1,30.91,42.48,13.18,4.9
12346,2026-03-03T10:34:10.579867,67.03,2.5,38.91,98.31,11.66,3.66
10103,2026-03-03T10:35:10.579867,106.73,0.88,64.36,92.04,12.22,2.55
10104,2026-03-03T10:36:10.579867,47.2,2.79,40.99,57.57,13.65,4.66
10111,2026-03-03T10:37:10.579867,72.77,3.57,54.51,85.86,13.27,3.16
10112,2026-03-03T10:38:10.579867,88.74,3.11,80.41,70.68,13.73,2.33
10215,2026-03-03T10:39:10.579867,62.24,0.48,66.11,72.43,11.28,3.53
10216,2026-03-03T10:40:10.579867,33.03,1.31,89.35,72.04,10.82,3.01
10217,2026-03-03T10:41:10.579867,43.78,2.81,66.77,40.43,11.5,4.68
10218,2026-03-03T10:42:10.579867,44.93,1.84,48.86,94.11,12.08,3.96
12345,2026-03-03T10:43:10.579867,89.58,3.0,61.21,47.13,13.1,3.16
12346,2026-03-03T10:44:10.579867,62.83,1.26,10.53,58.26,13.29,2.5
10103,2026-03-03T10:45:10.579867,104.08,2.13,42.24,98.01,13.61,4.26
10104,2026-03-03T10:46:10.579867,57.03,3.55,46.01,73.83,14.29,3.47
10111,2026-03-03T10:47:10.579867,36.43,1.76,60.05,57.24,10.93,3.7
10112,2026-03-03T10:48:10.579867,34.26,1.74,59.92,53.25,11.14,2.22
10215,2026-03-03T10:49:10.579867,72.8,3.38,45.97,64.98,12.24,4.51
10216,2026-03-03T10:50:10.579867,35.38,3.91,71.48,64.37,13.48,3.31
10217,2026-03-03T10:51:10.579867,85.29,1.98,27.5,87.67,13.75,3.26
10218,2026-03-03T10:52:10.579867,83.9,3.42,79.21,65.13,11.55,4.4
