Train_Number,Timestamp,Brake_Temperature_C,Axle_Vibration_mms,Wheel_Wear_Percent,Engine_Load_Percent,Battery_Voltage_V,Fuel_Efficiency_kmL
10103,2026-03-02T10:45:20.850743,51.9,3.5,31.31,75.72,13.89,3.95
10104,2026-03-02T10:46:20.850743,60.32,2.32,11.69,53.21,10.98,2.04
10111,2026-03-02T10:47:20.850743,105.85,3.87,76.03,45.36,13.87,4.36
10112,2026-03-02T10:48:20.850743,76.18,1.84,87.1,58.7,13.82,2.03
10215,2026-03-02T10:49:20.850743,96.9,2.66,52.29,99.34,13.54,4.55
10216,2026-03-02T10:50:20.850743,58.48,3.73,81.02,69.52,14.31,4.41
10217,2026-03-02T10:51:20.850743,103.03,1.8,65.29,98.2,14.16,2.28
10218,2026-03-02T10:52:20.850743,93.25,0.51,84.99,71.87,13.76,2.08
12345,2026-03-02T10:53:20.850743,69.64,3.1,43.51,50.95,12.88,4.95
12346,2026-03-02T10:54:20.850743,94.18,2.2,79.89,46.5,13.74,3.39
10103,2026-03-02T10:55:20.850743,93.65,0.54,78.26,74.24,14.49,3.71
10104,2026-03-02T10:56:20.850743,50.07,2.64,30.29,49.79,14.23,3.95
10111,2026-03-02T10:57:20.850743,119.02,3.0,31.36,61.92,11.45,4.94
10112,2026-03-02T10:58:20.850743,81.64,3.52,27.45,73.4,11.84,4.06
10215,2026-03-02T10:59:20.850743,48.89,3.4,25.89,75.45,13.08,3.24
10216,2026-03-02T11:00:20.850743,109.75,0.59,29.27,53.8,10.75,4.89
10217,2026-03-02T11:01:20.850743,78.82,3.61,13.41,73.57,13.12,2.61
10218,2026-03-02T11:02:20.850743,88.02,0.92,39.44,96.16,12.6,4.74
12345,2026-03-02T11:03:20.850743,101.5,1.99,84.59,46.41,13.55,2.63
12346,2026-03-02T11:04:20.850743,74.26,2.41,24.8,52.99,12.29,4.63
10103,2026-03-02T11:05:20.850743,62.54,1.64,13.28,70.73,13.35,4.38
10104,2026-03-02T11:06:20.850743,117.63,0.59,12.95,83.69,12.41,3.37
10111,2026-03-02T11:07:20.850743,109.58,2.79,11.39,71.56,11.91,4.36
10112,2026-03-02T11:08:20.850743,74.36,1.37,80.69,88.63,13.47,2.12
10215,2026-03-02T11:09:20.850743,44.74,1.53,73.45,91.62,12.99,4.97
10216,2026-03-02T11:10:20.850743,51.58,3.88,20.03,66.92,14.34,2.33
10217,2026-03-02T11:11:20.850743,88.97,3.13,52.49,95.02,14.0,4.27
